Age,M,F
0-4,61733760,56846872
5-9,64602110,58963119
10-14,66713773,60665244
15-19,68749854,62395896
20-24,66502013,60243688
25-29,63185626,57840211
30-34,59595633,54935787
35-39,53887018,49741492
40-44,46734880,43638104
45-49,40676622,38698224
50-54,34948447,33728260
55-59,29842077,29100527
60-64,24391302,24253235
65-69,18414252,18896130
70-74,11412174,12455934
75-79,6763527,8005257
80-84,3761711,4874200
85-89,1637584,2270884
90-94,511375,724581
95-99,99822,146486
100+,11905,18091
