Year,"World, Total","India, Total"
2023,8024997028.000,1428627663.000
2022,7951595433.000,1417173173.000
2021,7888963821.000,1407563842.000
2020,7821271846.000,1396387127.000
2019,7742724795.000,1383112050.000
2018,7661177849.000,1369003306.000
2017,7577110140.000,1354195680.000
2016,7490956237.000,1338636340.000
2015,7404251118.000,1322866505.000
2014,7317304568.000,1307246509.000
2013,7229458453.000,1291132063.000
2012,7141430933.000,1274487215.000
2011,7053988749.000,1257621191.000
2010,6969894715.000,1240613620.000
2009,6885608628.000,1223640160.000
2008,6801421733.000,1206734806.000
2007,6717583637.000,1189691809.000
2006,6635162568.000,1172373788.000
2005,6552787172.000,1154638713.000
2004,6471033757.000,1136264583.000
2003,6389592840.000,1117415123.000
2002,6308284566.000,1098313039.000
2001,6226487141.000,1078970907.000
2000,6144444748.000,1059633675.000
