id,states,Population,,
INAN,Andaman & Nicobar Islands,380581,,
INAP,Andhra Pradesh,49577103,,
INAR,Arunachal Pradesh,1383727,,
INAS,Assam,31205576,,
INBR,Bihar,104099452,,
INCT,Chhattisgarh,25545198,,
INDH,Dadra and Nagar Haveli & Daman and Diu,585764,,
INGA,Goa,1458545,,
INGJ,Gujarat,60439692,,
INHR,Haryana,25351462,,
INHP,Himachal Pradesh,6864602,,
INJK,Jammu & Kashmir,12267032,,
INJH,Jharkhand,32988134,,
INKA,Karnataka,61095297,,
INKL,Kerala,33406061,,
INLA,Ladakh,274000,,
INLD,Lakshadweep,64473,,
INMP,Madhya Pradesh,72626809,,
INMH,Maharastra,112374333,,
INMN,Manipur,2570390,,
INML,Meghalaya,2966889,,
INMZ,Mizoram,1097206,,
INNL,Nagaland,1978502,,
INDL,Delhi,16787941,,
INOR,Odisha,41974219,,
INPY,Puducherry,1247953,,
INPB,Punjab,27743338,,
INRJ,Rajasthan,68548437,,
INSK,Sikkim,610577,,
INTN,Tamil Nadu,72147030,,
INTL,Telangana,35003674,,
INTR,Tripura,3673917,,
INUP,Uttar Pradesh,199812341,,
INUT,Uttarakhand,10086292,,
INWB,West Bengal,91276115,,
