series,date,value
Transport,1988 JAN,40.3
Transport,1988 FEB,40.3
Transport,1988 MAR,40.6
Transport,1988 APR,41.1
Transport,1988 MAY,41.2
Transport,1988 JUN,41.6
Transport,1988 JUL,41.8
Transport,1988 AUG,42
Transport,1988 SEP,42.1
Transport,1988 OCT,42.2
Transport,1988 NOV,42.2
Transport,1988 DEC,42.1
Transport,1989 JAN,42.4
Transport,1989 FEB,42.6
Transport,1989 MAR,42.9
Transport,1989 APR,43.7
Transport,1989 MAY,44.1
Transport,1989 JUN,44.3
Transport,1989 JUL,44.3
Transport,1989 AUG,44
Transport,1989 SEP,44.2
Transport,1989 OCT,44.3
Transport,1989 NOV,44.1
Transport,1989 DEC,43.8
Transport,1990 JAN,44.1
Transport,1990 FEB,44.4
Transport,1990 MAR,44.7
Transport,1990 APR,45.7
Transport,1990 MAY,46
Transport,1990 JUN,46.3
Transport,1990 JUL,46.4
Transport,1990 AUG,47.5
Transport,1990 SEP,48.6
Transport,1990 OCT,48.9
Transport,1990 NOV,48.2
Transport,1990 DEC,47.3
Transport,1991 JAN,47.2
Transport,1991 FEB,47.3
Transport,1991 MAR,47.6
Transport,1991 APR,49.3
Transport,1991 MAY,50
Transport,1991 JUN,50.3
Transport,1991 JUL,50.7
Transport,1991 AUG,50.9
Transport,1991 SEP,51
Transport,1991 OCT,51.3
Transport,1991 NOV,51.4
Transport,1991 DEC,51.2
Transport,1992 JAN,51
Transport,1992 FEB,51.4
Transport,1992 MAR,51.9
Transport,1992 APR,52.5
Transport,1992 MAY,52.8
Transport,1992 JUN,53
Transport,1992 JUL,53
Transport,1992 AUG,52.9
Transport,1992 SEP,52.7
Transport,1992 OCT,52.7
Transport,1992 NOV,52.7
Transport,1992 DEC,52.5
Transport,1993 JAN,51.9
Transport,1993 FEB,52.4
Transport,1993 MAR,52.9
Transport,1993 APR,53.9
Transport,1993 MAY,54.2
Transport,1993 JUN,54.8
Transport,1993 JUL,54.9
Transport,1993 AUG,55
Transport,1993 SEP,55.1
Transport,1993 OCT,54.8
Transport,1993 NOV,54
Transport,1993 DEC,54.4
Transport,1994 JAN,54.8
Transport,1994 FEB,55.2
Transport,1994 MAR,55.5
Transport,1994 APR,55.7
Transport,1994 MAY,55.9
Transport,1994 JUN,56
Transport,1994 JUL,55.9
Transport,1994 AUG,56.1
Transport,1994 SEP,56
Transport,1994 OCT,55.7
Transport,1994 NOV,55.4
Transport,1994 DEC,55.9
Transport,1995 JAN,56.3
Transport,1995 FEB,56.5
Transport,1995 MAR,57
Transport,1995 APR,57.4
Transport,1995 MAY,57.4
Transport,1995 JUN,57.9
Transport,1995 JUL,57.9
Transport,1995 AUG,57.6
Transport,1995 SEP,57.5
Transport,1995 OCT,57
Transport,1995 NOV,56.5
Transport,1995 DEC,57.5
Transport,1996 JAN,58.2
Transport,1996 FEB,58.1
Transport,1996 MAR,58.2
Transport,1996 APR,58.8
Transport,1996 MAY,59
Transport,1996 JUN,59
Transport,1996 JUL,59
Transport,1996 AUG,59.5
Transport,1996 SEP,60.2
Transport,1996 OCT,60.5
Transport,1996 NOV,60.3
Transport,1996 DEC,60.7
Transport,1997 JAN,61.2
Transport,1997 FEB,61.5
Transport,1997 MAR,61.5
Transport,1997 APR,61.4
Transport,1997 MAY,61.5
Transport,1997 JUN,61.8
Transport,1997 JUL,62.6
Transport,1997 AUG,63
Transport,1997 SEP,63.2
Transport,1997 OCT,63
Transport,1997 NOV,62.9
Transport,1997 DEC,62.8
Transport,1998 JAN,63
Transport,1998 FEB,63.1
Transport,1998 MAR,63
Transport,1998 APR,64
Transport,1998 MAY,64.2
Transport,1998 JUN,64.1
Transport,1998 JUL,64
Transport,1998 AUG,64
Transport,1998 SEP,63.9
Transport,1998 OCT,63.8
Transport,1998 NOV,63.5
Transport,1998 DEC,63
Transport,1999 JAN,63.4
Transport,1999 FEB,63.3
Transport,1999 MAR,64.3
Transport,1999 APR,65.4
Transport,1999 MAY,65.3
